measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.05814695358276367
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.10451388359069824
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.14579200744628906
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.18773293495178223
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.23013019561767578
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.2691009044647217
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.32430410385131836
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.38013315200805664
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.41953396797180176
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.4588289260864258
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.514970064163208
2321.0,1354.0,2321.0,1354.0,0.0,0.0,0.5733358860015869
2322.0,1354.0,2321.2979,1354.0,-1.0,0.0,0.6299171447753906
2322.0,1354.0,2321.541,1354.0,-1.0,0.0,0.6728930473327637
2322.0,1354.0,2321.7146,1354.0,-1.0,0.0,0.7172451019287109
2322.0,1353.0,2321.8538,1353.737,-1.0,1.0,0.769550085067749
2322.0,1353.0,2321.9768,1353.5118,-1.0,1.0,0.8268270492553711
2322.0,1353.0,2322.0747,1353.3193,-1.0,1.0,0.8724288940429688
2322.0,1353.0,2322.126,1353.1823,-1.0,1.0,0.9117858409881592
2322.0,1353.0,2322.1604,1353.0767,-1.0,1.0,0.9505751132965088
2322.0,1353.0,2322.1855,1352.9915,-1.0,1.0,0.9956660270690918
2323.0,1353.0,2322.4397,1352.9185,-2.0,1.0,1.0538580417633057
2323.0,1353.0,2322.6965,1352.834,-2.0,1.0,1.1047918796539307
2323.0,1353.0,2322.881,1352.7946,-2.0,1.0,1.1463289260864258
2323.0,1352.0,2323.0156,1352.5248,-2.0,2.0,1.1940891742706299
2323.0,1352.0,2323.125,1352.2975,-2.0,2.0,1.253931999206543
2323.0,1352.0,2323.2446,1352.0652,-2.0,2.0,1.3173532485961914
2323.0,1352.0,2323.3074,1351.9005,-2.0,2.0,1.3621962070465088
2323.0,1352.0,2323.3184,1351.8113,-2.0,2.0,1.4038350582122803
2324.0,1352.0,2323.5723,1351.7515,-3.0,2.0,1.4421532154083252
2324.0,1352.0,2323.7693,1351.7113,-3.0,2.0,1.4915502071380615
2324.0,1352.0,2323.9521,1351.6637,-3.0,2.0,1.5499610900878906
2324.0,1352.0,2324.1116,1351.6257,-3.0,2.0,1.6035239696502686
2324.0,1352.0,2324.2207,1351.6173,-3.0,2.0,1.6480660438537598
2324.0,1352.0,2324.2778,1351.6351,-3.0,2.0,1.6880018711090088
2324.0,1352.0,2324.3113,1351.6593,-3.0,2.0,1.7470171451568604
2324.0,1352.0,2324.365,1351.6688,-3.0,2.0,1.8111248016357422
2324.0,1352.0,2324.3943,1351.692,-3.0,2.0,1.855398178100586
2324.0,1352.0,2324.3672,1351.7374,-3.0,2.0,1.8960521221160889
2324.0,1352.0,2324.3406,1351.7776,-3.0,2.0,1.9360339641571045
2324.0,1352.0,2324.3142,1351.8142,-3.0,2.0,1.9928438663482666
2325.0,1352.0,2324.537,1351.8508,-4.0,2.0,2.0568649768829346
2325.0,1352.0,2324.7273,1351.8939,-4.0,2.0,2.1056630611419678
2325.0,1351.0,2324.8489,1351.6934,-4.0,3.0,2.1471359729766846
2325.0,1351.0,2324.9417,1351.533,-4.0,3.0,2.196873903274536
2325.0,1351.0,2325.0266,1351.3959,-4.0,3.0,2.250398874282837
2325.0,1351.0,2325.093,1351.2792,-4.0,3.0,2.307849884033203
2325.0,1351.0,2325.142,1351.1807,-4.0,3.0,2.352358102798462
2325.0,1351.0,2325.1594,1351.1115,-4.0,3.0,2.3928050994873047
2326.0,1351.0,2325.384,1351.059,-5.0,3.0,2.4493842124938965
2326.0,1350.0,2325.6003,1350.7787,-5.0,4.0,2.513620138168335
2326.0,1350.0,2325.7822,1350.5312,-5.0,4.0,2.556225061416626
2326.0,1350.0,2325.9,1350.3514,-5.0,4.0,2.598767042160034
2326.0,1351.0,2325.9917,1350.4222,-5.0,3.0,2.639672040939331
2326.0,1350.0,2326.0608,1350.279,-5.0,4.0,2.689924955368042
2326.0,1350.0,2326.1348,1350.1385,-5.0,4.0,2.763787031173706
2326.0,1350.0,2326.2087,1349.9965,-5.0,4.0,2.808148145675659
2327.0,1350.0,2326.4463,1349.9233,-6.0,4.0,2.8493480682373047
2327.0,1350.0,2326.63,1349.8743,-6.0,4.0,2.8906211853027344
2327.0,1350.0,2326.7815,1349.8345,-6.0,4.0,2.9467949867248535
2327.0,1350.0,2326.94,1349.7817,-6.0,4.0,3.003920078277588
2327.0,1350.0,2327.0623,1349.7496,-6.0,4.0,3.0465140342712402
2327.0,1350.0,2327.1355,1349.7439,-6.0,4.0,3.0876240730285645
2327.0,1350.0,2327.1868,1349.7458,-6.0,4.0,3.1360960006713867
2327.0,1350.0,2327.2446,1349.7408,-6.0,4.0,3.197296142578125
2327.0,1350.0,2327.2986,1349.7373,-6.0,4.0,3.2435030937194824
2327.0,1349.0,2327.3098,1349.554,-6.0,5.0,3.2831919193267822
2327.0,1349.0,2327.3079,1349.407,-6.0,5.0,3.3256051540374756
2328.0,1349.0,2327.4932,1349.2795,-7.0,5.0,3.3764681816101074
2328.0,1349.0,2327.6714,1349.1544,-7.0,5.0,3.4371728897094727
2328.0,1349.0,2327.8262,1349.0461,-7.0,5.0,3.487415075302124
2328.0,1349.0,2327.9453,1348.965,-7.0,5.0,3.5295889377593994
2328.0,1349.0,2328.021,1348.9167,-7.0,5.0,3.571545124053955
2328.0,1349.0,2328.0876,1348.8737,-7.0,5.0,3.62021803855896
2328.0,1349.0,2328.1497,1348.8325,-7.0,5.0,3.677114963531494
2329.0,1348.0,2328.4036,1348.5988,-8.0,6.0,3.726572036743164
2329.0,1348.0,2328.5935,1348.4203,-8.0,6.0,3.7685670852661133
2329.0,1348.0,2328.744,1348.2775,-8.0,6.0,3.814225196838379
2329.0,1348.0,2328.878,1348.1497,-8.0,6.0,3.8675291538238525
2329.0,1348.0,2329.009,1348.024,-8.0,6.0,3.9283440113067627
2329.0,1348.0,2329.13,1347.9067,-8.0,6.0,3.9747700691223145
2330.0,1348.0,2329.3813,1347.8328,-9.0,6.0,4.016629934310913
2330.0,1348.0,2329.5757,1347.7876,-9.0,6.0,4.058650016784668
2330.0,1348.0,2329.7454,1347.7473,-9.0,6.0,4.111605882644653
2330.0,1348.0,2329.924,1347.6938,-9.0,6.0,4.173387050628662
2330.0,1348.0,2330.091,1347.6449,-9.0,6.0,4.221188068389893
2330.0,1348.0,2330.1968,1347.6296,-9.0,6.0,4.2628819942474365
2330.0,1348.0,2330.2676,1347.6296,-9.0,6.0,4.306742906570435
2330.0,1348.0,2330.3313,1347.629,-9.0,6.0,4.357731103897095
2331.0,1347.0,2330.5635,1347.4618,-10.0,7.0,4.418044090270996
2331.0,1347.0,2330.787,1347.3025,-10.0,7.0,4.465115070343018
2331.0,1347.0,2330.948,1347.1824,-10.0,7.0,4.506226062774658
2331.0,1347.0,2331.059,1347.0948,-10.0,7.0,4.546489000320435
2331.0,1347.0,2331.1604,1347.0162,-10.0,7.0,4.600703954696655
2331.0,1346.0,2331.2803,1346.7766,-10.0,8.0,4.660266876220703
2331.0,1346.0,2331.4033,1346.5415,-10.0,8.0,4.70912504196167
2331.0,1346.0,2331.4548,1346.3727,-10.0,8.0,4.749172925949097
2331.0,1346.0,2331.4836,1346.2378,-10.0,8.0,4.790405988693237
2332.0,1346.0,2331.656,1346.1155,-11.0,8.0,4.849893093109131
2332.0,1346.0,2331.8545,1345.9673,-11.0,8.0,4.907067060470581
2332.0,1346.0,2332.028,1345.8389,-11.0,8.0,4.955177068710327
2332.0,1346.0,2332.1343,1345.7661,-11.0,8.0,4.995119094848633
2333.0,1346.0,2332.3547,1345.7145,-12.0,8.0,5.035951137542725
2332.0,1346.0,2332.4143,1345.6666,-11.0,8.0,5.086050987243652
2332.0,1346.0,2332.5024,1345.5953,-11.0,8.0,5.154042959213257
2333.0,1346.0,2332.74,1345.5201,-12.0,8.0,5.216637134552002
2333.0,1345.0,2332.9253,1345.3324,-12.0,9.0,5.268308162689209
2333.0,1345.0,2333.0735,1345.1768,-12.0,9.0,5.316819190979004
2333.0,1345.0,2333.188,1345.0513,-12.0,9.0,5.382447957992554
2333.0,1344.0,2333.328,1344.7599,-12.0,10.0,5.46068811416626
2334.0,1345.0,2333.6204,1344.6237,-13.0,9.0,5.515006065368652
2334.0,1345.0,2333.8228,1344.5557,-13.0,9.0,5.585345983505249
2334.0,1344.0,2334.0422,1344.3124,-13.0,10.0,5.6527159214019775
2334.0,1344.0,2334.1997,1344.1249,-13.0,10.0,5.695981025695801
2334.0,1344.0,2334.291,1344.0005,-13.0,10.0,5.740872144699097
2334.0,1344.0,2334.358,1343.9031,-13.0,10.0,5.783829927444458
2334.0,1344.0,2334.4197,1343.8143,-13.0,10.0,5.836647033691406
2335.0,1344.0,2334.631,1343.7141,-14.0,10.0,5.895925998687744
2335.0,1344.0,2334.831,1343.617,-14.0,10.0,5.939686059951782
2335.0,1344.0,2334.975,1343.5609,-14.0,10.0,5.981406211853027
2335.0,1344.0,2335.0803,1343.5298,-14.0,10.0,6.020815134048462
2335.0,1343.0,2335.175,1343.3784,-14.0,11.0,6.064301013946533
2335.0,1343.0,2335.2795,1343.2247,-14.0,11.0,6.12660813331604
2335.0,1343.0,2335.4026,1343.0569,-14.0,11.0,6.17576003074646
2335.0,1343.0,2335.4834,1342.9302,-14.0,11.0,6.222271203994751
2336.0,1343.0,2335.6475,1342.8408,-15.0,11.0,6.2626731395721436
2336.0,1343.0,2335.7898,1342.765,-15.0,11.0,6.314543008804321
2336.0,1343.0,2335.9534,1342.666,-15.0,11.0,6.373916149139404
2336.0,1342.0,2336.1113,1342.4517,-15.0,12.0,6.417666912078857
2336.0,1343.0,2336.2053,1342.4156,-15.0,11.0,6.459846019744873
2336.0,1343.0,2336.2905,1342.3829,-15.0,11.0,6.500977039337158
2337.0,1342.0,2336.4714,1342.2488,-16.0,12.0,6.543177127838135
2337.0,1342.0,2336.6492,1342.115,-16.0,12.0,6.604124069213867
2337.0,1342.0,2336.8484,1341.9608,-16.0,12.0,6.659185171127319
2337.0,1342.0,2337.003,1341.8446,-16.0,12.0,6.700705051422119
2337.0,1342.0,2337.1123,1341.7656,-16.0,12.0,6.745438814163208
2337.0,1342.0,2337.221,1341.686,-16.0,12.0,6.800103187561035
2337.0,1342.0,2337.3452,1341.5918,-16.0,12.0,6.85502815246582
2338.0,1341.0,2337.5603,1341.4031,-17.0,13.0,6.900158166885376
2338.0,1341.0,2337.7214,1341.2609,-17.0,13.0,6.940835952758789
2338.0,1341.0,2337.8604,1341.138,-17.0,13.0,6.990384101867676
2338.0,1341.0,2338.0188,1340.9979,-17.0,13.0,7.061738967895508
2339.0,1341.0,2338.312,1340.834,-18.0,13.0,7.10610294342041
2339.0,1341.0,2338.5093,1340.7462,-18.0,13.0,7.1463000774383545
2339.0,1340.0,2338.6755,1340.5739,-18.0,14.0,7.187112092971802
2339.0,1340.0,2338.8284,1340.4152,-18.0,14.0,7.2431840896606445
2339.0,1340.0,2339.0352,1340.2119,-18.0,14.0,7.309607028961182
2339.0,1340.0,2339.2104,1340.0359,-18.0,14.0,7.354038953781128
2340.0,1340.0,2339.4248,1339.9172,-19.0,14.0,7.395458936691284
2340.0,1340.0,2339.5999,1339.8264,-19.0,14.0,7.435741186141968
2340.0,1340.0,2339.7637,1339.74,-19.0,14.0,7.482189893722534
2340.0,1339.0,2339.9473,1339.5358,-19.0,15.0,7.555476903915405
2340.0,1339.0,2340.1807,1339.2904,-19.0,15.0,7.606506824493408
2341.0,1339.0,2340.4111,1339.1354,-20.0,15.0,7.6454150676727295
2341.0,1339.0,2340.5935,1339.0175,-20.0,15.0,7.687205076217651
2341.0,1339.0,2340.7708,1338.901,-20.0,15.0,7.744883060455322
2341.0,1339.0,2340.99,1338.7483,-20.0,15.0,7.80246114730835
2342.0,1338.0,2341.2751,1338.5228,-21.0,16.0,7.846466064453125
2342.0,1338.0,2341.5044,1338.3424,-21.0,16.0,7.88830304145813
2342.0,1338.0,2341.6882,1338.1984,-21.0,16.0,7.941226959228516
2342.0,1338.0,2341.908,1338.0248,-21.0,16.0,7.999354124069214
