measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.19274401664733887
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.29458117485046387
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.3406810760498047
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.3801741600036621
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.42809510231018066
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.4747002124786377
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.5313003063201904
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.6018502712249756
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.6530342102050781
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.7001621723175049
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.7516841888427734
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.8418183326721191
2168.0,1443.0,2167.4585,1443.1433,-1.0,0.0,0.8930141925811768
2168.0,1442.0,2167.603,1442.7766,-1.0,1.0,0.9414520263671875
2168.0,1442.0,2167.728,1442.5116,-1.0,1.0,0.999859094619751
2168.0,1442.0,2167.8423,1442.2878,-1.0,1.0,1.0779361724853516
2168.0,1443.0,2168.0957,1442.5104,-1.0,0.0,1.1221110820770264
2168.0,1443.0,2168.1968,1442.6611,-1.0,0.0,1.1631412506103516
2168.0,1442.0,2168.141,1442.416,-1.0,1.0,1.2112891674041748
2168.0,1442.0,2168.1147,1442.2194,-1.0,1.0,1.2725951671600342
2168.0,1442.0,2168.1028,1442.036,-1.0,1.0,1.3296802043914795
2168.0,1442.0,2168.096,1441.9138,-1.0,1.0,1.3738162517547607
2168.0,1442.0,2168.0962,1441.8436,-1.0,1.0,1.4188621044158936
2168.0,1442.0,2168.1016,1441.8021,-1.0,1.0,1.484179973602295
2169.0,1442.0,2168.4993,1441.8967,-2.0,1.0,1.553220272064209
2169.0,1441.0,2168.6653,1441.5626,-2.0,2.0,1.598952054977417
2169.0,1442.0,2168.9087,1441.7015,-2.0,1.0,1.6516101360321045
2169.0,1441.0,2168.971,1441.4153,-2.0,2.0,1.7220771312713623
2169.0,1441.0,2169.0383,1441.1636,-2.0,2.0,1.7736022472381592
2169.0,1442.0,2169.2202,1441.365,-2.0,1.0,1.8152382373809814
2169.0,1442.0,2169.314,1441.5056,-2.0,1.0,1.858342170715332
2169.0,1442.0,2169.376,1441.6024,-2.0,1.0,1.9265642166137695
2169.0,1441.0,2169.2964,1441.2712,-2.0,2.0,2.0064802169799805
2170.0,1441.0,2169.6096,1441.1879,-3.0,2.0,2.0589041709899902
2170.0,1441.0,2169.8098,1441.114,-3.0,2.0,2.1114420890808105
2170.0,1441.0,2169.9678,1441.033,-3.0,2.0,2.1746890544891357
2170.0,1441.0,2170.1,1440.9436,-3.0,2.0,2.2214701175689697
2170.0,1441.0,2170.1567,1440.8921,-3.0,2.0,2.268174171447754
2170.0,1441.0,2170.2031,1440.8442,-3.0,2.0,2.3105170726776123
2170.0,1441.0,2170.235,1440.8044,-3.0,2.0,2.371840000152588
2170.0,1440.0,2170.1272,1440.3964,-3.0,3.0,2.432988166809082
2170.0,1441.0,2170.2258,1440.4414,-3.0,2.0,2.4763572216033936
2170.0,1441.0,2170.2815,1440.5005,-3.0,2.0,2.518428325653076
2171.0,1440.0,2170.4834,1440.378,-4.0,3.0,2.562488079071045
2171.0,1440.0,2170.6545,1440.2657,-4.0,3.0,2.620958089828491
2171.0,1440.0,2170.8306,1440.14,-4.0,3.0,2.684910297393799
2171.0,1440.0,2170.9814,1440.0242,-4.0,3.0,2.7322492599487305
2171.0,1440.0,2171.076,1439.9447,-4.0,3.0,2.772395133972168
2171.0,1440.0,2171.1404,1439.8865,-4.0,3.0,2.8165931701660156
2171.0,1440.0,2171.2021,1439.828,-4.0,3.0,2.870180130004883
2172.0,1440.0,2171.5906,1439.9247,-5.0,3.0,2.9300591945648193
2172.0,1440.0,2171.902,1439.9718,-5.0,3.0,2.9787940979003906
2172.0,1439.0,2171.9204,1439.6571,-5.0,4.0,3.020677328109741
2172.0,1439.0,2171.9492,1439.4127,-5.0,4.0,3.065354108810425
2172.0,1440.0,2172.1482,1439.5048,-5.0,3.0,3.117967128753662
2172.0,1439.0,2172.1501,1439.2433,-5.0,4.0,3.1781702041625977
2172.0,1439.0,2172.1711,1438.9996,-5.0,4.0,3.2293813228607178
2172.0,1439.0,2172.1885,1438.843,-5.0,4.0,3.2744131088256836
2172.0,1439.0,2172.2158,1438.7303,-5.0,4.0,3.317110061645508
2172.0,1439.0,2172.2463,1438.6531,-5.0,4.0,3.3793773651123047
2173.0,1439.0,2172.6357,1438.7334,-6.0,4.0,3.444118022918701
2173.0,1439.0,2172.963,1438.7853,-6.0,4.0,3.496162176132202
2173.0,1439.0,2173.162,1438.8036,-6.0,4.0,3.538641929626465
2173.0,1439.0,2173.2825,1438.7987,-6.0,4.0,3.5806312561035156
2173.0,1439.0,2173.3738,1438.7772,-6.0,4.0,3.633742094039917
2173.0,1438.0,2173.2937,1438.4237,-6.0,5.0,3.6966311931610107
2173.0,1438.0,2173.2397,1438.099,-6.0,5.0,3.745809316635132
2174.0,1438.0,2173.511,1438.0793,-7.0,5.0,3.7912940979003906
2174.0,1438.0,2173.7266,1438.0338,-7.0,5.0,3.8506860733032227
2174.0,1438.0,2173.9395,1437.9519,-7.0,5.0,3.9085681438446045
2174.0,1438.0,2174.1045,1437.8716,-7.0,5.0,3.9507930278778076
2174.0,1438.0,2174.2056,1437.8115,-7.0,5.0,3.9944350719451904
2174.0,1438.0,2174.2864,1437.7529,-7.0,5.0,4.051692247390747
2174.0,1438.0,2174.3916,1437.6624,-7.0,5.0,4.114371299743652
2174.0,1438.0,2174.4814,1437.5682,-7.0,5.0,4.183356285095215
2174.0,1437.0,2174.356,1437.0459,-7.0,6.0,4.318308115005493
2175.0,1437.0,2174.7642,1436.9042,-8.0,6.0,4.391684293746948
2175.0,1437.0,2175.0293,1436.8131,-8.0,6.0,4.456523180007935
2175.0,1437.0,2175.178,1436.7551,-8.0,6.0,4.497480154037476
2175.0,1437.0,2175.2676,1436.7145,-8.0,6.0,4.54515528678894
2175.0,1437.0,2175.3562,1436.661,-8.0,6.0,4.6116790771484375
2175.0,1437.0,2175.467,1436.5773,-8.0,6.0,4.667660236358643
2175.0,1437.0,2175.526,1436.5222,-8.0,6.0,4.709927320480347
2175.0,1437.0,2175.5564,1436.4873,-8.0,6.0,4.755017042160034
2176.0,1437.0,2175.8904,1436.6204,-9.0,6.0,4.82204008102417
2176.0,1436.0,2175.9844,1436.3729,-9.0,7.0,4.883440256118774
2176.0,1436.0,2176.0442,1436.1693,-9.0,7.0,4.924478054046631
2176.0,1436.0,2176.0852,1436.0304,-9.0,7.0,4.970059156417847
2176.0,1436.0,2176.141,1435.9031,-9.0,7.0,5.03102707862854
2176.0,1436.0,2176.2263,1435.756,-9.0,7.0,5.0864222049713135
2177.0,1436.0,2176.5994,1435.8558,-10.0,7.0,5.130410194396973
2177.0,1435.0,2176.6663,1435.6216,-10.0,8.0,5.170380115509033
2177.0,1435.0,2176.7368,1435.4353,-10.0,8.0,5.228451251983643
2177.0,1435.0,2176.8516,1435.2214,-10.0,8.0,5.291593074798584
2177.0,1435.0,2176.9653,1435.0382,-10.0,8.0,5.339615106582642
2178.0,1435.0,2177.3513,1435.1125,-11.0,8.0,5.382941007614136
2178.0,1435.0,2177.6267,1435.1312,-11.0,8.0,5.425148963928223
2178.0,1435.0,2177.8457,1435.1105,-11.0,8.0,5.4866392612457275
2178.0,1435.0,2178.0964,1435.0314,-11.0,8.0,5.55527925491333
2178.0,1435.0,2178.2776,1434.912,-11.0,8.0,5.601031064987183
2178.0,1435.0,2178.3538,1434.8181,-11.0,8.0,5.646390199661255
2178.0,1435.0,2178.4248,1434.7263,-11.0,8.0,5.688737154006958
2178.0,1434.0,2178.2993,1434.3728,-11.0,9.0,5.753545045852661
2179.0,1434.0,2178.5444,1434.2203,-12.0,9.0,5.814446210861206
2179.0,1434.0,2178.751,1434.0969,-12.0,9.0,5.8581383228302
2179.0,1434.0,2178.897,1434.0073,-12.0,9.0,5.900590181350708
2179.0,1434.0,2179.0203,1433.92,-12.0,9.0,5.946555137634277
2179.0,1434.0,2179.1384,1433.8265,-12.0,9.0,6.00165319442749
2179.0,1434.0,2179.2764,1433.7065,-12.0,9.0,6.067320108413696
2179.0,1434.0,2179.4138,1433.5807,-12.0,9.0,6.1209471225738525
2180.0,1434.0,2179.8074,1433.7053,-13.0,9.0,6.166076183319092
2180.0,1434.0,2180.0718,1433.7579,-13.0,9.0,6.208338975906372
2180.0,1433.0,2180.0698,1433.5013,-13.0,10.0,6.272892951965332
2180.0,1433.0,2180.138,1433.2135,-13.0,10.0,6.335354328155518
2180.0,1433.0,2180.1956,1432.9669,-13.0,10.0,6.383875131607056
2181.0,1433.0,2180.5298,1433.0079,-14.0,10.0,6.434545993804932
2181.0,1433.0,2180.8042,1432.9884,-14.0,10.0,6.495495080947876
2181.0,1433.0,2181.0603,1432.9158,-14.0,10.0,6.5551512241363525
2181.0,1433.0,2181.244,1432.8252,-14.0,10.0,6.612486362457275
2181.0,1433.0,2181.4006,1432.7108,-14.0,10.0,6.678228139877319
2181.0,1432.0,2181.309,1432.2585,-14.0,11.0,6.755925178527832
2182.0,1432.0,2181.6184,1432.1217,-15.0,11.0,6.801459074020386
2182.0,1432.0,2181.8054,1432.0443,-15.0,11.0,6.8465821743011475
2182.0,1432.0,2181.9622,1431.9534,-15.0,11.0,6.891224145889282
2182.0,1432.0,2182.0996,1431.859,-15.0,11.0,6.950243234634399
2182.0,1432.0,2182.265,1431.7258,-15.0,11.0,7.010047197341919
2182.0,1432.0,2182.4045,1431.6025,-15.0,11.0,7.053680181503296
2183.0,1431.0,2182.562,1431.45,-16.0,12.0,7.099018096923828
2183.0,1432.0,2182.9116,1431.564,-16.0,11.0,7.159971237182617
2183.0,1431.0,2183.0293,1431.3076,-16.0,12.0,7.22115421295166
2183.0,1431.0,2183.1235,1431.0796,-16.0,12.0,7.261469125747681
2183.0,1431.0,2183.1882,1430.9203,-16.0,12.0,7.306225299835205
2183.0,1431.0,2183.2678,1430.7727,-16.0,12.0,7.376348972320557
2183.0,1431.0,2183.4077,1430.5698,-16.0,12.0,7.4374682903289795
2184.0,1431.0,2183.8162,1430.6611,-17.0,12.0,7.481763124465942
2184.0,1431.0,2184.0808,1430.6984,-17.0,12.0,7.531766176223755
2184.0,1431.0,2184.3113,1430.6779,-17.0,12.0,7.593677282333374
2184.0,1430.0,2184.3132,1430.2917,-17.0,13.0,7.654337167739868
2184.0,1430.0,2184.3086,1429.9982,-17.0,13.0,7.694829225540161
2184.0,1430.0,2184.3218,1429.7997,-17.0,13.0,7.738952159881592
2185.0,1430.0,2184.6108,1429.8329,-18.0,13.0,7.797774076461792
2185.0,1430.0,2184.9119,1429.794,-18.0,13.0,7.85644006729126
2185.0,1430.0,2185.1602,1429.737,-18.0,13.0,7.902760982513428
2185.0,1430.0,2185.325,1429.6783,-18.0,13.0,7.946218013763428
2185.0,1430.0,2185.4644,1429.6025,-18.0,13.0,8.011770248413086
2185.0,1429.0,2185.4102,1429.1738,-18.0,14.0,8.084646224975586
2186.0,1429.0,2185.7114,1429.0513,-19.0,14.0,8.127984285354614
2186.0,1429.0,2185.898,1428.9751,-19.0,14.0,8.178186178207397
2186.0,1429.0,2186.0776,1428.8671,-19.0,14.0,8.241266965866089
2186.0,1429.0,2186.266,1428.728,-19.0,14.0,8.29475712776184
2186.0,1429.0,2186.4211,1428.5975,-19.0,14.0,8.402619361877441
2187.0,1429.0,2187.0737,1428.6251,-20.0,14.0,8.53420114517212
2187.0,1428.0,2187.3186,1428.0004,-20.0,15.0,8.700241327285767
2187.0,1428.0,2187.6072,1427.4572,-20.0,15.0,8.762418031692505
2187.0,1428.0,2187.6768,1427.3129,-20.0,15.0,8.819385290145874
2187.0,1428.0,2187.7585,1427.1821,-20.0,15.0,8.868224143981934
2187.0,1428.0,2187.8313,1427.0842,-20.0,15.0,8.916542053222656
2187.0,1428.0,2187.9114,1426.9921,-20.0,15.0,8.995245218276978
2188.0,1428.0,2188.367,1427.0752,-21.0,15.0,9.055167198181152
2188.0,1427.0,2188.438,1426.8441,-21.0,16.0,9.108343124389648
2188.0,1427.0,2188.5098,1426.659,-21.0,16.0,9.169701337814331
2189.0,1427.0,2188.9207,1426.6959,-22.0,16.0,9.249795198440552
2189.0,1427.0,2189.2717,1426.6608,-22.0,16.0,9.303497076034546
2189.0,1427.0,2189.4758,1426.6024,-22.0,16.0,9.353443145751953
2189.0,1427.0,2189.6265,1426.5227,-22.0,16.0,9.412033081054688
2189.0,1427.0,2189.7744,1426.408,-22.0,16.0,9.499500036239624
2190.0,1427.0,2190.2793,1426.48,-23.0,16.0,9.559116125106812
2190.0,1427.0,2190.554,1426.4773,-23.0,16.0,9.609004259109497
2190.0,1427.0,2190.7188,1426.4326,-23.0,16.0,9.678982257843018
2190.0,1426.0,2190.6855,1425.9791,-23.0,17.0,9.751497983932495
2190.0,1426.0,2190.6462,1425.6425,-23.0,17.0,9.804551124572754
2191.0,1425.0,2190.7043,1425.3497,-24.0,18.0,9.855390071868896
2191.0,1425.0,2190.7893,1425.12,-24.0,18.0,9.912498950958252
2191.0,1425.0,2190.9175,1424.8878,-24.0,18.0,10.004868268966675
2191.0,1425.0,2191.1362,1424.6199,-24.0,18.0,10.056642055511475
2191.0,1425.0,2191.2854,1424.5212,-24.0,18.0,10.1094810962677
2191.0,1425.0,2191.4333,1424.4114,-24.0,18.0,10.16879415512085
2192.0,1425.0,2191.893,1424.5181,-25.0,18.0,10.35689115524292
2192.0,1425.0,2192.731,1424.2996,-25.0,18.0,10.454567193984985
2192.0,1424.0,2192.689,1423.8057,-25.0,19.0,10.508506298065186
2192.0,1424.0,2192.6877,1423.5643,-25.0,19.0,10.558715343475342
2193.0,1424.0,2192.989,1423.5957,-26.0,19.0,10.623111009597778
2192.0,1424.0,2193.0066,1423.3241,-25.0,19.0,10.68854308128357
2193.0,1424.0,2193.3174,1423.3306,-26.0,19.0,10.733295202255249
2193.0,1424.0,2193.5144,1423.3302,-26.0,19.0,10.781022071838379
2194.0,1424.0,2193.9326,1423.4985,-27.0,19.0,10.824893951416016
2194.0,1424.0,2194.2397,1423.5845,-27.0,19.0,10.883349180221558
2194.0,1423.0,2194.3247,1423.3206,-27.0,20.0,10.948952198028564
2194.0,1423.0,2194.3938,1423.0314,-27.0,20.0,10.999948024749756
2195.0,1422.0,2194.482,1422.7543,-28.0,21.0,11.049094200134277
2195.0,1423.0,2194.797,1422.7849,-28.0,20.0,11.09643030166626
2195.0,1422.0,2194.839,1422.4974,-28.0,21.0,11.164554119110107
2195.0,1422.0,2194.9395,1422.184,-28.0,21.0,11.221654176712036
2195.0,1422.0,2195.0356,1421.9553,-28.0,21.0,11.268553018569946
2195.0,1422.0,2195.134,1421.7848,-28.0,21.0,11.317048072814941
2196.0,1422.0,2195.5105,1421.8452,-29.0,21.0,11.387247323989868
